cont|denumire|tip
7651|VEN. DIN DIFERENTE FAVORABILE DE CURS VALUTAR|P
7652|DIFERENTE DE CURS DIN INVESTITIA INTR-O ENTITATE STRAINA|P
766|VEN. DIN DOBINZI|P
767|VEN. DIN SCONTURI OBTINUTE|P
768|ALTE VEN. FINANCIARE|P
781|VEN. PROV. PT. ACTIVIVITATEA DE EXPLOATARE|P
7812|VEN. DIN PROVIZIOANE|P
7813|VEN. DIN AJUSTARI PENTRU DEPR. IMOBILIZARILOR|P
7814|VEN. DIN AJUSTARI PT. DEPR. ACTIVELOR CIRCCULANTE|P
7815|VEN. DIN FONDUL COMERCIAL NEGATIV|P
7818|VEN. DIN DEPR. CREANTELOR AF. AVANSURILOR PT. FURNIZORI|P
786|VEN. FIN. DIN AJUSTARI SI PIERDERE DE VALOARE|P
7863|VEN. FIN. DIN AJUSTARI SI PIERDERE DE VALOARE IMOB. FIN.|P
7864|VEN. FIN. DIN AJUSTARI SI PIERDERE DE VALOARE ACTIVE CIRC.|P
7865|VENITURI FINANCIARE DIN AMORT. DIFERENTE TITLURI DE STAT|P
794|VEN. DIN IMP. PE PROFIT REZULTAT DIN DECONTARILE IN GRUP|P
801|ANGAJAMENTE ACORDATE|B
8011|GIRURI SI GARANTII ACORDATE|B
8018|ALTE ANGAJAMENTE ACORDATE|B
802|ANGAJAMENTE PRIMITE|B
8021|GIRURI SI GARANTII PRIMITE|B
8028|ALTE ANGAJAMENTE PRIMITE|B
803|ALTE CONTURI IN AFARA BILANTULUI|B
8031|IMOBILIZARI CORPORALE LUATE CU CHIRIE|B
8032|VAL. MAT. PRIMITE PT. PRELUCRARE SAU REPARARE|B
8033|VAL. MAT. PRIMITE IN PASTRARE DAU CUSTODIE|B
8034|"DEBITORI SCOSI DIN ACTIV| URMARITI IN CONTINUARE"|B
8035|STOCURI DE NATURA OBIECTELOR DE INVENTAR DATE IN FOLOSINTA|B
8036|"REDEVENTE| LOCATII DE GESTIUNE| CHIRII SI ALTE DATORII ASIM."|B
8037|EFECTE SCONTATE NEAJUNSE LA SCAD|B
8038|"BUNURI PRIMITE IN ADMINISTRARE| CONCESIUNE SI CU CHIRIE"|B
8039|ALTE VALORI IN AFARA BILANTULUI|B
804|CERTIFICATE VERZI|B
805|DOBANZI AFERENTE CONTRACTELOR DE LEASING|B
8051|DOBANZI DE PLATIT|B
8052|DOBANZI DE INCASAT|B
806|CERTIFICATE DE EMISII DE GAZE CU EFECT DE SERA|B
807|ACTIVE CONTINGENTE|B
808|DATORII CONTINGENTE|B
809|CREANTE PRELUATE PRIN CESIONARE|B
891|BILANT DE DESCHIDERE|A
892|BILANT DE INCHIDERE|A
901|DEC. INTERNE PRIVIND CHELTUIELILE|B
902|DEC. INTERNE PRIVIND PRODUCTIA OBTINUTE|B
903|DEC. INTERNE PRIVIND DIFERENTELE DE PRET|A
921|CHELTUIELILE ACTIVITATII DE BAZA|A
922|CHELTUIELILE ACTIVITATILOR AUXILIARE|A
923|CHELTUIELI INDIRECTE DE PRODUCTIE|A
924|CHELTUIELI GENERALE DE ADMINISTRATIE|A
925|CHELTUIELI DE DESFACERE|A
931|COSTUL PRODUCTIEI OBTINUTE|A
933|COSTUL PRODUCTIEI IN CURS DE EXECUTIE|A
999|CORESPONDENT CONTURI DIN AFARA BILANTULUI|B
